gers_id,target_id,label,confidence,reasoning,labeler,dataset,agent_id,labeled_at
0a33c390-fd15-437c-b38b-6b7800897fc9,bog_road_174051,match,0.95,Blue and red lines follow the same diagonal path with minimal offset indicating same physical road segment,claude_opus_geometry_only,co_bogota_roads,,
15509eec-a262-40e6-ba1d-41946220488f,bog_road_180649,match,0.9,Blue and red segments follow the same path with minimal offset - red extends further north but shares the same alignment indicating same physical road feature,claude_opus_geometry_only,co_bogota_roads,,
19d96489-0aae-49cc-b494-89624e7683fb,bog_road_246112,no_match,0.85,Blue segment curves away from red at divergent angle - they share brief proximity at one point but follow different paths,claude_opus_geometry_only,co_bogota_roads,,
1d32c9f5-2d5f-4686-bac6-58656b3251b4,bog_road_229864,no_match,0.95,Parallel segments with consistent offset - likely separate carriageways or road vs adjacent feature,claude_opus_geometry_only,co_bogota_roads,,
229b7312-b7f3-442b-902c-2c956c352e83,bog_road_207906,match,0.85,Blue segment overlaps and follows same path as red segment - appears to be subsegment of same road feature with slight offset consistent with digitization variance,claude_opus_geometry_only,co_bogota_roads,,
2954c61f-b44b-4e29-be32-15e325d9eba1,bog_road_261075,no_match,0.85,Parallel segments with consistent lateral offset - likely separate carriageways of divided highway not the same physical feature,claude_opus_geometry_only,co_bogota_roads,,
2aed909a-4094-4bcb-b432-195f72b4b2fd,bog_road_265414,match,0.85,Blue segment overlaps lower portion of red segment following same path with slight angle difference - subsegment match on same road feature,claude_opus_geometry_only,co_bogota_roads,,
303007e2-4789-49b5-b7b6-e9018e794dae,bog_road_216907,match,0.95,Blue and red lines follow same diagonal path with near-complete overlap and minimal offset indicating same physical road segment,claude_opus_geometry_only,co_bogota_roads,,
371093cf-a2b7-40e0-85ec-5c1a22256c2b,bog_road_237627,no_match,0.85,Parallel segments with consistent lateral offset - appear to be adjacent features not the same road centerline,claude_opus_geometry_only,co_bogota_roads,,
3908f7df-fc47-4a9b-9d4e-404823e03986,bog_road_152537,no_match,0.95,Red segment runs north-south while blue segment runs east-west - perpendicular orientation with ~89 degree heading delta,claude_opus_geometry_only,co_bogota_roads,,
4170aa93-3ca9-40fc-ba8d-fe163abfbdf3,bog_road_230420,no_match,0.95,Footway vs secondary road - different feature types; blue segment is tiny footway at end of long red secondary road,claude_opus_geometry_only,co_bogota_roads,,
4321f4fa-b794-49ee-960c-c67007339151,bog_road_244515,no_match,0.85,Different feature types: reference is footway while target is residential road - cannot match despite overlapping geometry,claude_opus_geometry_only,co_bogota_roads,,
441d6490-bc64-438e-9327-fd2c993de79b,bog_road_157200,no_match,0.95,Reference is footway and target is tertiary road - different feature types even though geometries overlap,claude_opus_geometry_only,co_bogota_roads,,
