gers_id,target_id,label,confidence,reasoning,labeler,dataset,labeled_at
054bb4f1-0186-425c-9383-5a44089329b9,us_usfs_lolo_42938_8828981813,match,0.85,Blue segment overlaps directly on portion of longer red segment - same road path with subsegment relationship,claude_opus_geometry_only,us_usfs_lolo,
065a4cff-236e-4f90-a4b8-78f1d5c6fb74,us_usfs_lolo_4355064_882898389b,match,0.85,Blue and red segments follow the same winding path with substantial overlap - red is shorter subsegment of same physical road despite name difference (Keystone Road vs Keystone Creek),claude_opus_geometry_only,us_usfs_lolo,
06a62b88-465f-4b43-89bd-462df27b5879,us_usfs_lolo_4375192_882898c467,match,0.85,Blue segment overlaps portion of longer red segment following same curved path with acceptable offset,claude_opus_geometry_only,us_usfs_lolo,
109a22f5-ad17-470a-bcb6-80d44ae77915,us_usfs_lolo_4391954_8828982acd,match,0.75,Blue segment overlaps with portion of red segment following same path with small offset - red is longer continuation of same road corridor (Upper Sloway Gulch contains Sloway Road),claude_opus_geometry_only,us_usfs_lolo,
154f8c50-a37d-442f-b17a-a46de11b5ff7,us_usfs_lolo_70854_8828980ec3,match,0.9,Blue and red segments follow the same winding road path with red extending further at both ends - same physical feature with different digitized lengths,claude_opus_geometry_only,us_usfs_lolo,
19cb9ff5-e9e5-436e-a4c9-6c56b4be26ed,us_usfs_lolo_265795_8828980e3d,match,0.95,Blue and red lines follow identical winding path throughout entire length with near-perfect overlap - same physical road feature,claude_opus_geometry_only,us_usfs_lolo,
2594cf46-d5e2-402a-bdc1-254de2a412ec,us_usfs_lolo_4370204_882898c29d,no_match,0.95,Reference segment (27m) not visible - only red target line (6249m) shown; extreme length ratio (227:1) and no blue geometry indicates segments do not overlap on the same physical feature,claude_opus_geometry_only,us_usfs_lolo,
274db333-5e4e-4b38-9b6b-b9a6cb7067e7,us_usfs_lolo_4370860_882898c547,match,0.85,Blue segment overlaps portion of red campground loop road following same path with minimal offset,claude_opus_geometry_only,us_usfs_lolo,
275390f7-3bee-4d0b-bb83-13410f13a632,us_usfs_lolo_4360610_882898d4c5,no_match,0.85,Blue and red segments follow completely different paths - blue goes southwest while red goes east/northeast with no overlap,claude_opus_geometry_only,us_usfs_lolo,
288e7ea6-c39d-47d5-ad25-cf62c0825b53,us_usfs_lolo_182069_882898cf0d,match,0.85,Red segment closely follows blue segment path with minimal offset - target is subsegment of longer reference track,claude_opus_geometry_only,us_usfs_lolo,
3486f0e5-b5d6-4c52-8373-1e0209e3c9bb,us_usfs_lolo_80314_8828980dc7,match,0.85,Blue and red segments follow the same winding path through most of their length with only minor offset from digitization differences - both represent the same road feature,claude_opus_geometry_only,us_usfs_lolo,
34c04259-c513-4dd2-8e61-5db9ba662d20,us_usfs_lolo_244477_882898c4c9,match,0.85,Blue segment (113m) overlaps with small portion of much longer red segment (7835m) along same path - subsegment match where reference track aligns with part of target road,claude_opus_geometry_only,us_usfs_lolo,
