ref_id,target_id,label,confidence,reasoning,labeler,dataset
052c2f68-d6e4-432c-82b8-7ed5acb0f39c,us_boston_streets_6418,match,0.95,Blue and red bright solid lines overlap directly on the same diagonal path with minimal offset representing the same Laurie Avenue residential road segment,claude_opus_subline_road_context,us_boston_streets
10991d41-8a6d-4b95-a691-fb9ed07126e5,us_boston_streets_9683,match,0.95,Bright blue and red solid segments overlap on the same path - both are Charles Street South primary roads with identical names and matching heading (2.5° delta) - reference is a shorter subsegment of the longer target segment,claude_opus_subline_road_context,us_boston_streets
1fc0ff35-e6e4-42c1-8f30-3f5c8819e8bb,us_boston_streets_9278,match,0.95,Same Thacher Street segment with clear overlap - reference is subsegment of target with minimal heading difference and matching names/classes,claude_opus_subline_road_context,us_boston_streets
302540ea-53c6-4be0-a4c6-9f8de781540c,us_boston_streets_9780,no_match,0.85,Blue and red segments are clearly offset and run at different angles - blue runs more horizontal while red runs at a steeper diagonal heading difference of ~32 degrees indicates perpendicular/divergent paths not the same road,claude_opus_subline_road_context,us_boston_streets
351f73aa-db85-4c3e-a050-e056a650da4c,us_boston_streets_8268,match,0.95,Bright blue and red solid lines clearly overlap along the same east-west path representing Stuart Street with only minor digitization offset of a few meters; same street name and similar heading (2.8° delta),claude_opus_subline_road_context,us_boston_streets
364e3ae5-c0f2-4d0c-a7e6-af9318eb97f2,us_boston_streets_6334,match,0.9,Same road (Causeway Street) with bright solid lines clearly overlapping on identical path despite length difference,claude_opus_subline_road_context,us_boston_streets
3d2c02a3-9a5f-4fb5-95ca-140c0fadee38,us_boston_streets_1277,match,0.95,Bright blue and red lines clearly overlap along the same east-west path representing State Street with minimal offset and consistent heading,claude_opus_subline_road_context,us_boston_streets
41f531fb-d46d-475a-834b-0f68a5bd1c46,us_boston_streets_4918,match,0.95,Bright solid blue and red lines show clear overlap on same east-west path along State Street with minimal offset and matching names,claude_opus_subline_road_context,us_boston_streets
4625ae19-eb5c-49a5-bbd4-c814c46227f7,us_boston_streets_10479,no_match,0.85,Blue dashed line runs northeast while red dashed line runs south - segments are perpendicular meeting at intersection not overlapping on same path,claude_opus_subline_road_context,us_boston_streets
5a85988b-dc29-4b0f-8d95-fab416464208,us_boston_streets_5890,match,0.95,Bright blue and red solid lines overlap closely on same diagonal path representing Lagrange Street with minimal offset and matching names,claude_opus_subline_road_context,us_boston_streets
5e16343d-8ba9-473a-8587-b4beddd43177,us_boston_streets_7586,match,0.95,Bright blue and red lines overlap nearly perfectly along the same diagonal path with minimal offset; both named Canal Street; length ratio 1.0 and heading delta near zero confirm same physical road segment,claude_opus_subline_road_context,us_boston_streets
5e5a57ef-4d21-4fe2-a140-2016c5889ee9,us_boston_streets_7256,no_match,0.85,Blue and red segments are parallel but offset ~10-15m apart representing different physical features - likely parallel roadways or road vs adjacent feature rather than same road with digitization error,claude_opus_subline_road_context,us_boston_streets
5e828d5f-f5e4-41d5-a7f2-6085f05b3b7e,us_boston_streets_4260,match,0.95,Bright blue and red solid lines directly overlap along same road path with minimal offset; both named Bennington Street; heading delta only 4.5 degrees; reference segment is shorter subsegment of target which is valid match,claude_opus_subline_road_context,us_boston_streets
645acedf-fd40-47aa-9d9d-425c1b5be307,us_boston_streets_6063,match,0.85,Bright blue and red solid lines with circles clearly overlap on same east-west path along Causeway Street with minimal offset; identical names and good geometric alignment despite some length difference,claude_opus_subline_road_context,us_boston_streets
794c7508-4404-47b8-b684-e903955e2c39,us_boston_streets_240,no_match,0.85,Footway (reference) runs parallel but offset from residential road (target) - these are physically separate features with different classifications; the slight offset and parallel alignment suggest a sidewalk adjacent to Braemore Road rather than the road itself,claude_opus_subline_road_context,us_boston_streets
86a7cc29-9b84-4ed0-a6ce-e0a37b1feb43,us_boston_streets_2111,no_match,0.9,Parallel offset footway alongside Cummins Highway road - distinct physical features not overlapping,claude_opus_subline_road_context,us_boston_streets
907beb18-fa22-4eec-ac39-1253be6a0a26,us_boston_streets_10750,match,0.95,Blue and red segments clearly overlap on same path representing Commonwealth Avenue with near-identical lengths and minimal offset,claude_opus_subline_road_context,us_boston_streets
991d7dce-3b84-4874-931e-3db427514a5b,us_boston_streets_999,no_match,0.95,Different streets - Myrtle Street (blue horizontal) and Derne Street (red diagonal) meet at intersection but are perpendicular/different roads with 23.5 degree heading difference and completely different names,claude_opus_subline_road_context,us_boston_streets
a78071ab-6ec5-4d1e-8e84-c624d6a49c79,us_boston_streets_10318,no_match,0.85,Blue segment follows curved turnaround loop while red segment is straight Beverly Street running perpendicular to it - different physical paths with 32-degree heading difference,claude_opus_subline_road_context,us_boston_streets
a99c8091-8877-47d3-bb5f-5ee2b4439d19,us_boston_streets_6441,match,0.95,Bright blue and red solid lines overlap directly on the same diagonal path representing Elizabeth Street with identical names and residential class - the target extends further (faint red dashed line) but the aligned portions show clear geometric overlap,claude_opus_subline_road_context,us_boston_streets
bdb507dd-094e-43c9-b542-6d69b74a918c,us_boston_streets_6009,match,0.85,Bright solid blue and red lines overlap on the same east-west path representing Avery Street with identical names and minor offset within normal digitization tolerance,claude_opus_subline_road_context,us_boston_streets
c8ca801e-efb2-4498-8cf2-2480c799257e,us_boston_streets_5464,match,0.95,Same River Street road with clear geometric overlap - shorter target segment aligns with portion of longer reference segment,claude_opus_subline_road_context,us_boston_streets
d496ff26-2d0a-41fb-b8dc-b7c979ebe8a8,us_boston_streets_7021,match,0.85,Blue and red segments overlap at intersection point with same heading direction and identical name Congress Street,claude_opus_subline_road_context,us_boston_streets
df261e37-fd10-4e32-9904-e5235640a17b,us_boston_streets_4095,match,0.95,Bright blue and red solid lines with circles overlap on same north-south path along Austin Street; reference is shorter subsegment of longer target; both residential class with identical names,claude_opus_subline_road_context,us_boston_streets
e57168a9-a5e6-4268-9ca9-5170c0a9e309,us_boston_streets_10772,no_match,0.9,Footway and primary road are parallel but offset features - sidewalk vs road surface are physically separate despite same street name,claude_opus_subline_road_context,us_boston_streets
052c2f68-d6e4-432c-82b8-7ed5acb0f39c,us_boston_streets_6418,match,0.95,Bright solid segments overlap closely on same diagonal road with matching names and topology,claude_sonnet_subline_road_context,us_boston_streets
10991d41-8a6d-4b95-a691-fb9ed07126e5,us_boston_streets_9683,match,0.95,Same road with overlapping alignment on Charles Street South; subsegment match,claude_sonnet_subline_road_context,us_boston_streets
1fc0ff35-e6e4-42c1-8f30-3f5c8819e8bb,us_boston_streets_9278,match,0.95,Blue subsegment overlaps red segment on same Thacher Street alignment,claude_sonnet_subline_road_context,us_boston_streets
302540ea-53c6-4be0-a4c6-9f8de781540c,us_boston_streets_9780,no_match,0.9,Segments are parallel but offset - different physical roadways not overlapping,claude_sonnet_subline_road_context,us_boston_streets
351f73aa-db85-4c3e-a050-e056a650da4c,us_boston_streets_8268,match,0.95,Blue segment is subsegment of red on same road - Stuart Street alignment clear,claude_sonnet_subline_road_context,us_boston_streets
364e3ae5-c0f2-4d0c-a7e6-af9318eb97f2,us_boston_streets_6334,match,0.9,Segments overlap on same road trajectory; subsegment match on Causeway Street,claude_sonnet_subline_road_context,us_boston_streets
3d2c02a3-9a5f-4fb5-95ca-140c0fadee38,us_boston_streets_1277,match,0.95,Segments clearly overlap on same road with high alignment despite length difference,claude_sonnet_subline_road_context,us_boston_streets
41f531fb-d46d-475a-834b-0f68a5bd1c46,us_boston_streets_4918,match,0.95,Segments overlap on same road; subsegment match with aligned portions,claude_sonnet_subline_road_context,us_boston_streets
4625ae19-eb5c-49a5-bbd4-c814c46227f7,us_boston_streets_10479,match,0.95,Aligned segments on same diagonal road with matching names and overlapping geometry,claude_sonnet_subline_road_context,us_boston_streets
5a85988b-dc29-4b0f-8d95-fab416464208,us_boston_streets_5890,match,0.95,Segments clearly aligned and overlapping on same road with matching names and topology,claude_sonnet_subline_road_context,us_boston_streets
5e16343d-8ba9-473a-8587-b4beddd43177,us_boston_streets_7586,match,0.95,Blue and red segments are nearly perfectly aligned along the same diagonal road with matching names (Canal Street) and overlapping geometry,claude_sonnet_subline_road_context,us_boston_streets
5e5a57ef-4d21-4fe2-a140-2016c5889ee9,us_boston_streets_7256,no_match,0.95,Segments are on parallel roads with clear separation not overlapping on same physical roadway,claude_sonnet_subline_road_context,us_boston_streets
5e828d5f-f5e4-41d5-a7f2-6085f05b3b7e,us_boston_streets_4260,match,0.95,Blue segment is subsegment of red on same Bennington Street with perfect alignment,claude_sonnet_subline_road_context,us_boston_streets
645acedf-fd40-47aa-9d9d-425c1b5be307,us_boston_streets_6063,match,0.95,Both segments aligned on same diagonal road with clear overlap,claude_sonnet_subline_road_context,us_boston_streets
794c7508-4404-47b8-b684-e903955e2c39,us_boston_streets_240,no_match,0.8,Blue footway runs parallel north of red residential road - different physical segments,claude_sonnet_subline_road_context,us_boston_streets
86a7cc29-9b84-4ed0-a6ce-e0a37b1feb43,us_boston_streets_2111,no_match,0.7,Parallel segments with footway vs tertiary classification suggest sidewalk and roadway not same physical segment,claude_sonnet_subline_road_context,us_boston_streets
907beb18-fa22-4eec-ac39-1253be6a0a26,us_boston_streets_10750,match,1.0,Bright solid segments overlay perfectly on same road alignment with matching names and identical geometry,claude_sonnet_subline_road_context,us_boston_streets
991d7dce-3b84-4874-931e-3db427514a5b,us_boston_streets_999,no_match,0.95,Different parallel roads separated by perpendicular street,claude_sonnet_subline_road_context,us_boston_streets
a78071ab-6ec5-4d1e-8e84-c624d6a49c79,us_boston_streets_10318,no_match,0.75,Different road segments meeting at junction with 32° heading difference,claude_sonnet_subline_road_context,us_boston_streets
a99c8091-8877-47d3-bb5f-5ee2b4439d19,us_boston_streets_6441,match,1.0,Blue segment is subsegment of red on same Elizabeth Street alignment,claude_sonnet_subline_road_context,us_boston_streets
bdb507dd-094e-43c9-b542-6d69b74a918c,us_boston_streets_6009,match,0.95,Segments overlap on same road; target is subsegment of reference,claude_sonnet_subline_road_context,us_boston_streets
c8ca801e-efb2-4498-8cf2-2480c799257e,us_boston_streets_5464,match,0.95,Segments overlap on same physical road with identical name and aligned geometry,claude_sonnet_subline_road_context,us_boston_streets
d496ff26-2d0a-41fb-b8dc-b7c979ebe8a8,us_boston_streets_7021,match,0.95,Segments are collinear and overlap on same physical road with excellent alignment,claude_sonnet_subline_road_context,us_boston_streets
df261e37-fd10-4e32-9904-e5235640a17b,us_boston_streets_4095,match,0.95,Blue and red segments overlap on same road alignment; subsegment match,claude_sonnet_subline_road_context,us_boston_streets
e57168a9-a5e6-4268-9ca9-5170c0a9e309,us_boston_streets_10772,match,0.85,Segments overlap on same Columbus Avenue corridor despite class difference (footway vs primary),claude_sonnet_subline_road_context,us_boston_streets
052c2f68-d6e4-432c-82b8-7ed5acb0f39c,us_boston_streets_6418,match,1.0,Segments perfectly overlap on the same residential road with identical names.,gemini_flash_subline_road_context,us_boston_streets
10991d41-8a6d-4b95-a691-fb9ed07126e5,us_boston_streets_9683,no_match,0.95,Segments are adjacent blocks of the same street and do not overlap.,gemini_flash_subline_road_context,us_boston_streets
