gers_id,target_id,label,confidence,reasoning,labeler,dataset
02d2b67a-3d89-4b6d-ab56-8bec360f6edd,boston_bike_1082_882a30661d,no_match,0.85,Parallel segments with consistent offset - blue (footway) runs alongside red (Broad Street) as separate features not the same physical road,claude_opus_geometry_only,us_boston_bike_network
055df320-fdf1-4f12-9ecf-f565f835d11c,boston_bike_1665_882a306601,no_match,0.95,Parallel segments with consistent offset - blue and red lines run side by side rather than overlapping; also different feature types (footway vs cycleway),claude_opus_geometry_only,us_boston_bike_network
09e4241c-11e4-4c36-8cef-fe7260728e03,boston_bike_300_882a30660b,no_match,0.85,Road (secondary) vs cycleway are different feature types despite overlapping geometry,claude_opus_geometry_only,us_boston_bike_network
09e4241c-11e4-4c36-8cef-fe7260728e03,boston_bike_691_882a30660b,no_match,0.85,Different feature types - reference is secondary road while target is cycleway; geometries follow same path but represent road vs bike lane which are separate physical features,claude_opus_geometry_only,us_boston_bike_network
10aa70d9-1fb7-4fc7-aaa0-57d4356db9d6,boston_bike_1719_882a30663b,match,0.95,Blue and red segments follow the same diagonal path with minimal offset; red is shorter subsegment of blue; both named Stuart Street; typical digitization variance,claude_opus_geometry_only,us_boston_bike_network
11ff8877-3ff5-470b-a0a5-df6845df056a,boston_bike_2462_882a306615,no_match,0.85,Parallel lines with consistent offset - blue and red segments run side by side rather than overlapping on same path indicating separate physical features like road vs adjacent sidewalk/bike path,claude_opus_geometry_only,us_boston_bike_network
1268f3ee-d67e-41fa-97a4-727fc65f8d41,boston_bike_3168_882a306611,no_match,0.85,Blue and red segments run parallel but are clearly offset from each other - they do not overlap on the same path. This appears to be two parallel features (possibly adjacent paths or a path and sidewalk) rather than the same physical feature.,claude_opus_geometry_only,us_boston_bike_network
1c28d34c-b5b7-4f48-bd86-2786eccec2f7,boston_bike_2840_882a30661d,match,0.95,Blue and red segments follow the same diagonal path with near-identical lengths and complete overlap indicating same road feature,claude_opus_geometry_only,us_boston_bike_network
20cd9e3f-a72b-4025-b537-ed5f530df0f3,boston_bike_1784_882a306615,no_match,0.85,Parallel segments with consistent offset - footway vs cycleway are different feature types running alongside each other,claude_opus_geometry_only,us_boston_bike_network
23c22e1e-b69c-4c5a-b656-7a2ee8690eb3,boston_bike_254_882a30663b,no_match,0.85,Parallel segments offset by ~10-15m - footway vs cycleway are different feature types running side by side not the same physical path,claude_opus_geometry_only,us_boston_bike_network
2558b105-cd3f-4574-b3cc-c885e313fa08,boston_bike_725_882a30660b,no_match,0.95,Parallel lines with clear lateral separation - footway and cycleway are distinct adjacent features not the same physical path,claude_opus_geometry_only,us_boston_bike_network
27591c1d-83d0-4459-8231-7cb7c8c94a81,boston_bike_2410_882a306631,no_match,0.85,Parallel lines with consistent offset - reference is footway and target is bike network on Commonwealth Ave - these are adjacent but separate facilities,claude_opus_geometry_only,us_boston_bike_network
29dced94-0730-40b9-884d-498a77d70c02,boston_bike_1061_882a306639,no_match,0.85,Road (primary) vs cycleway are different feature types even though geometries align on same corridor,claude_opus_geometry_only,us_boston_bike_network
2aa0f979-ddcc-4884-92d4-f25db6b33afe,boston_bike_1059_882a306639,no_match,0.9,Blue and red segments run parallel but clearly separate paths with ~22 degree heading difference - not the same physical feature,claude_opus_geometry_only,us_boston_bike_network
2f4f1ed8-a25f-41c0-bea1-ce2a36ea93a7,boston_bike_1025_882a30661d,match,0.9,Blue and red lines follow the same diagonal path with the red segment being a subsegment of the longer blue line; both represent Oliver Street with minimal offset,claude_opus_geometry_only,us_boston_bike_network
2f7f5792-2901-4828-a421-98cedc7b401d,boston_bike_2521_882a30661d,match,0.98,Blue and red segments follow identical path with near-perfect overlap along same linear feature,claude_opus_geometry_only,us_boston_bike_network
318adcb2-4a22-49bf-b47f-1c8f4551d40b,boston_bike_324_882a30660b,match,0.95,Blue and red segments follow identical path with near-complete overlap along same linear feature,claude_opus_geometry_only,us_boston_bike_network
31fea4c7-cdbc-4981-8ddf-02daba256dd8,boston_bike_2080_882a306639,no_match,0.85,Primary road vs cycleway are different feature types even though they share same path,claude_opus_geometry_only,us_boston_bike_network
324777bb-8ce0-4025-b278-4147bcee5ff1,boston_bike_1408_882a30661d,no_match,0.75,Reference is footway and target is unknown road type (Milk Street) - different feature types even though geometries overlap closely,claude_opus_geometry_only,us_boston_bike_network
33508fee-26e4-4ca1-b98e-c93af3191fec,boston_bike_301_882a30660b,no_match,0.85,Blue segment (footway) is parallel but offset from red segment (cycleway) - they run alongside each other as separate features not the same path,claude_opus_geometry_only,us_boston_bike_network
351f73aa-db85-4c3e-a050-e056a650da4c,boston_bike_2934_882a30663b,no_match,0.85,Parallel lines with consistent offset - blue segment runs parallel below red segment indicating separate features like sidewalk/bike path vs road centerline,claude_opus_geometry_only,us_boston_bike_network
