ref_id,target_id,label,confidence,reasoning
000d81bc-a47c-4296-b67a-351302496de0,fc_sidewalk_2819,no_match,1.0,Segments are perpendicular and clearly separate roads.
0038ca58-a01e-45a2-a9d3-aeb47b915689,fc_sidewalk_11328,no_match,1.0,Parallel segments representing distinct features (road centerline vs sidewalk)
0410b10a-8755-441c-aa1a-187d300986e1,fc_sidewalk_20159,no_match,1.0,Segments are in completely different locations with no overlap and large separation distance.
05650229-59ca-454e-8603-4696a3830dfb,fc_sidewalk_18317,no_match,0.9,Segments represent distinct paths that connect at an endpoint but do not overlap.
06d8b4de-c377-46f4-814d-5bcb49d1042b,fc_sidewalk_18151,match,0.95,High geometric overlap and identical heading indicate subsegment match.
0aad8b94-10b4-43f9-8e56-d9bb9b77bea8,fc_sidewalk_28724,no_match,0.95,Parallel segments with significant lateral offset and zero overlap
0afd9805-0b96-4aa2-a6e3-b128d06fd6c2,fc_sidewalk_284,no_match,1.0,Segments are spatially separated with different orientations
0bafcfb1-1454-4ee5-88ec-0ced49e6611b,fc_sidewalk_19187,no_match,1.0,Segments are sequential and do not overlap as evidenced by the centroid distance matching the sum of half-lengths.
0de69e40-8ec8-441c-93af-4908e02bd43a,fc_sidewalk_10257,no_match,0.95,Segments are distinct parallel features representing a residential road and its adjacent sidewalk.
1098fead-cd85-487c-90f9-40a41df87c62,fc_sidewalk_26175,no_match,1.0,Segments are perpendicular and physically separated.
127aecb1-210b-4ac3-a06a-8466745086cc,fc_sidewalk_3066,no_match,1.0,Segments are in different locations with zero overlap and significant distance between them.
1289676f-685d-4b8a-85f5-b15149088716,fc_sidewalk_19537,no_match,0.95,Segments are disjoint and represent adjacent sections of the footway
17808335-67e8-421d-9f13-703420547e18,fc_sidewalk_35739,no_match,1.0,Segments are in different locations and have different orientations
17a1c65d-3f00-4b71-aabd-285773b4c93f,fc_sidewalk_9306,no_match,0.95,Segments are parallel but distinct representing a road and its adjacent sidewalk instead of the same physical path.
198ecf1c-edd6-4523-90ed-c2ad1f6b47f2,fc_sidewalk_28942,no_match,1.0,Segments are nearly perpendicular and represent different network types (road vs footway)
19aacaa6-de26-4cb9-aca6-bb49b5dbbd68,fc_sidewalk_19511,no_match,0.9,Segments are parallel but distinctly offset representing a road and an adjacent sidewalk.
1b911b10-4244-46fb-b821-959d76dd8b6b,fc_sidewalk_26062,no_match,1.0,Segments are spatially separated with no overlap
22e85c6b-e2e4-45bd-9931-c07694cc3ae6,fc_sidewalk_11793,no_match,1.0,Segments are nearly perpendicular and physically separated.
247cec9e-6279-4c3b-aedd-321f4c2e48cb,fc_sidewalk_27491,no_match,1.0,Segments are perpendicular and do not overlap.
