gers_id,target_id,label,confidence,reasoning,labeler,dataset
0271b754-4357-4791-a77c-50c0de3631d3,fc_street_4891,no_match,0.95,Blue and red segments are in completely different locations with no overlap - they are far apart on opposite corners of the image indicating distinct physical features,claude_opus_geometry_only,us_fort_collins_streets
089e8cf6-0d34-412e-9803-133f383344d3,fc_street_441,no_match,0.95,Segments are far apart in opposite corners of image with no overlap - blue in upper left and red in lower right - completely different locations,claude_opus_geometry_only,us_fort_collins_streets
08e80715-a3f8-4848-b84f-5b4f061bcc1c,fc_street_3011,no_match,0.95,Blue and red segments are far apart on opposite sides of image with no overlap - completely different locations representing different streets (West Drake Road vs Morgan Ct),claude_opus_geometry_only,us_fort_collins_streets
08f8aebc-d1d3-4a5f-9ee8-eeff8cace3ca,fc_street_2075,no_match,0.95,Segments are in completely different locations - blue at top and red at bottom of image with no overlap or proximity,claude_opus_geometry_only,us_fort_collins_streets
0c75e5f4-c714-4347-9874-7e5db0b12ba4,fc_street_2935,no_match,0.95,Segments are geographically distant with no overlap; footway vs residential are different feature types,claude_opus_geometry_only,us_fort_collins_streets
107de1f6-fd8b-4896-9986-b6200d937c13,fc_street_6533,no_match,0.95,Blue (footway) in bottom-left corner and red (residential road) in top-right corner are in completely different locations with no overlap - different feature types and spatially separated,claude_opus_geometry_only,us_fort_collins_streets
11018f24-1df3-415b-9b96-761143582032,fc_street_5513,no_match,0.95,Blue and red segments are in completely different locations - blue is at bottom left and red is at top center with no overlap or proximity,claude_opus_geometry_only,us_fort_collins_streets
117c01f4-fa68-4c11-a2d3-86e125eeeb7c,fc_street_5177,no_match,0.95,Red and blue segments are in completely different locations - red segment at top of image and blue segment at bottom with large gap between them indicating different physical features,claude_opus_geometry_only,us_fort_collins_streets
119a8a80-bd75-48cb-93cf-9c8c051e4e75,fc_street_8806,no_match,0.95,Segments are geographically far apart with no overlap or proximity,claude_opus_geometry_only,us_fort_collins_streets
14cb6918-016b-4f4d-83e0-3365ec155536,fc_street_6937,no_match,0.95,Blue segment in upper right and red segment in lower left are completely separate with no overlap - they are far apart and represent different physical features,claude_opus_geometry_only,us_fort_collins_streets
16e55751-bb41-4e26-8fbc-177653a1747f,fc_street_7533,no_match,0.95,Blue segment at bottom and red segment at top are in completely different locations with no overlap - they are hundreds of meters apart representing different streets,claude_opus_geometry_only,us_fort_collins_streets
1951b92b-191f-4a65-af20-14d7800f19d2,fc_street_6888,no_match,0.95,Blue and red segments are in completely different locations - blue at bottom and red at top of image with no overlap or connection; also different feature types (footway vs residential),claude_opus_geometry_only,us_fort_collins_streets
1a54b2a0-f9cf-4046-ac01-ea3ab268bf25,fc_street_8326,no_match,0.95,Blue and red segments are completely separate with no overlap - located on opposite sides of the image with significant distance between them,claude_opus_geometry_only,us_fort_collins_streets
1aba70d5-b608-4b7b-92b6-288b499cd345,fc_street_5817,no_match,0.95,Segments are far apart in opposite corners of image with different orientations - blue in upper right and red in lower left - clearly separate features not the same road,claude_opus_geometry_only,us_fort_collins_streets
1c806163-88e1-48f4-aaae-ff1f1f87245b,fc_street_5781,no_match,0.95,Blue and red segments are in completely different locations - blue is upper left corner while red is lower right corner with no spatial overlap or proximity,claude_opus_geometry_only,us_fort_collins_streets
230f3afc-6cae-41dc-8fb1-a1e1b28d65eb,fc_street_2973,no_match,0.95,Blue and red points are on opposite sides of the image with no overlap - completely separate locations with different street names (North Sherwood Street vs COUNTRYSIDE DR) and ~49 degree heading difference,claude_opus_geometry_only,us_fort_collins_streets
23ae28ae-a984-49ec-a270-5dfcc7d40f23,fc_street_6370,no_match,0.95,Segments are far apart at opposite corners of image with no overlap - blue in bottom-left and red in top-right indicating completely different locations,claude_opus_geometry_only,us_fort_collins_streets
2a2d7ff0-5642-46c9-bd8b-a915b69ec560,fc_street_8933,no_match,0.95,Blue segment in lower-left and red segment in upper-right are completely separated with no overlap - they are in different locations entirely,claude_opus_geometry_only,us_fort_collins_streets
2c2f1033-caca-45d7-bbee-666ff892511a,fc_street_715,no_match,0.95,Blue and red segments are in completely different locations - blue is in upper left corner while red is in lower center - they are not overlapping or following the same path at all,claude_opus_geometry_only,us_fort_collins_streets
2c583db3-a28c-4ab0-97b9-a61d7dc0bc14,fc_street_705,no_match,0.95,Blue segment in bottom-left corner and red segment in top-right corner are completely separate with no overlap or spatial proximity - they appear to be different road segments far apart,claude_opus_geometry_only,us_fort_collins_streets
2f7b4eb8-a770-40cb-b0cf-e1602c2eb9ec,fc_street_178,no_match,0.95,Blue segment in upper right and red segment in lower left are completely separate with no overlap; different locations entirely; also footway vs residential class mismatch,claude_opus_geometry_only,us_fort_collins_streets
31fb3393-d400-42d8-bebd-7f1257a86f94,fc_street_3583,no_match,0.95,Blue and red segments are in completely different locations with ~10km separation (see large bbox spanning -105.08 to -105.04 longitude); reference is footway while target is residential road; different feature types cannot match,claude_opus_geometry_only,us_fort_collins_streets
32d4447b-1025-4309-8e84-821ebd2dd4ef,fc_street_3893,no_match,0.95,Segments are far apart with no overlap - blue point in lower right and red segment in upper left of image are completely separate locations not the same physical feature,claude_opus_geometry_only,us_fort_collins_streets
33217b51-f827-4024-a83c-7619e8da8845,fc_street_5438,no_match,0.95,Segments are extremely far apart on opposite sides of image with no overlap - completely different locations,claude_opus_geometry_only,us_fort_collins_streets
33b1d306-d5ea-419f-a101-a2bab6d6401c,fc_street_5382,no_match,0.95,Blue and red segments are on opposite sides of image with no overlap - completely separate features far apart geographically,claude_opus_geometry_only,us_fort_collins_streets
341cdd97-f5cf-4ce7-aab5-a2f061f8d09f,fc_street_8372,no_match,0.95,Segments are far apart with no overlap - reference is tiny 3m segment in bottom-left while target is 206m segment in top-right of different area,claude_opus_geometry_only,us_fort_collins_streets
3d32dbf5-6b6b-41dc-b8c3-0017768a394d,fc_street_450,no_match,0.95,Blue segment in bottom-left corner and red segment in top-right corner are completely separate with no overlap or proximity - they are in different locations entirely,claude_opus_geometry_only,us_fort_collins_streets
3eeeffe0-15fa-4c35-bfdf-51dd9e65c4c1,fc_street_3210,no_match,0.95,Blue segment (footway) at top-left and red segment (primary road) at bottom-right are in completely different locations with no overlap; also different feature classes (footway vs primary road),claude_opus_geometry_only,us_fort_collins_streets
40557010-f385-499c-99c1-65e9977a9ba7,fc_street_2,no_match,0.95,Blue and red segments are in completely different locations - blue is in bottom-left corner while red is in top-right corner with no overlap or proximity,claude_opus_geometry_only,us_fort_collins_streets
4163b930-a3ba-4089-b3d5-a606b25f45e3,fc_street_2567,no_match,0.95,Red and blue segments are in completely different locations - red in upper left corner and blue in lower right corner with no overlap or proximity,claude_opus_geometry_only,us_fort_collins_streets
42a1c01d-0fbd-404a-8d67-e86cf4e25df0,fc_street_8722,no_match,0.95,Segments are in completely different locations with no overlap - blue segment barely visible in lower left while red segment is in upper right area of image indicating no spatial relationship,claude_opus_geometry_only,us_fort_collins_streets
4345eed6-2214-4b6d-a693-210cb94a856b,fc_street_11181,no_match,0.95,Blue and red segments are in completely different locations - red at top and blue at bottom of image with no overlap or proximity; heading_delta of 89.8 degrees confirms perpendicular orientations,claude_opus_geometry_only,us_fort_collins_streets
456b8893-e519-41d5-941f-4c551bf21750,fc_street_3680,no_match,0.95,Blue and red segments are in opposite corners of the image with no overlap; reference is footway and target is residential road (different feature types); heading delta of 68 degrees confirms different orientations,claude_opus_geometry_only,us_fort_collins_streets
45d651e2-a8b5-4ac8-959b-31c113725e02,fc_street_8319,no_match,0.95,Blue segment in upper-left and red segment in lower-right are completely separate with no overlap - different locations entirely with 61-degree heading difference,claude_opus_geometry_only,us_fort_collins_streets
4b2b741d-5dd0-4294-bcbf-ea7c50e38c61,fc_street_5228,no_match,0.95,Blue and red segments are in completely different locations - blue in upper right corner and red in lower left corner with no overlap or proximity,claude_opus_geometry_only,us_fort_collins_streets
