source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
tn_tunis_ml_roads_sweep1_20260712,0ee2a94b,majority,I,"[[""204fe140-fe18-46fd-86c1-ca45072a5930"", ""tn_tunis_ml_c3aac2c6ff60_88386ea9e1""], [""56bdbfe2-3532-408e-b8b0-28a9c1697174"", ""tn_tunis_ml_bafb8793d55c_88386ea9c5""], [""649f716a-278c-4ff5-aeea-3c5a7d7734b7"", ""tn_tunis_ml_159360220565_88386ea9c5""], [""6cd69d76-b033-461b-b322-a8038d9d3afa"", ""tn_tunis_ml_349df44ddb97_88386ea9c5""], [""6cd69d76-b033-461b-b322-a8038d9d3afa"", ""tn_tunis_ml_5d679e2547ae_88386ea9c5""], [""6cd69d76-b033-461b-b322-a8038d9d3afa"", ""tn_tunis_ml_85ec31d708d3_88386ea9c5""], [""6cd69d76-b033-461b-b322-a8038d9d3afa"", ""tn_tunis_ml_fdbfce94c671_88386ea9c5""], [""7375aca5-5271-4404-b0a2-ef998e85277f"", ""tn_tunis_ml_12a317bd6371_88386ea9e1""], [""764ebd37-519d-44c8-9db6-19ed4df237ad"", ""tn_tunis_ml_f914b7c897fa_88386ea9c5""], [""ab6d69c6-1199-4a86-b0f4-5c0406089445"", ""tn_tunis_ml_90672cada945_88386ea9cd""], [""add29478-fe88-4f31-a888-efb9777fd0b0"", ""tn_tunis_ml_25eeef8341bc_88386e0691""], [""add29478-fe88-4f31-a888-efb9777fd0b0"", ""tn_tunis_ml_28a3e2a323ec_88386e3361""], [""add29478-fe88-4f31-a888-efb9777fd0b0"", ""tn_tunis_ml_2bbe02abaf1c_88386ea9e5""], [""add29478-fe88-4f31-a888-efb9777fd0b0"", ""tn_tunis_ml_3241634192c3_88386e3329""], [""add29478-fe88-4f31-a888-efb9777fd0b0"", ""tn_tunis_ml_488ea134b0b9_88386e3361""], [""add29478-fe88-4f31-a888-efb9777fd0b0"", ""tn_tunis_ml_670b31fb24bd_88386e3363""], [""add29478-fe88-4f31-a888-efb9777fd0b0"", ""tn_tunis_ml_f64f4e424fbd_88386e06d3""], [""d9be2e7a-dfe5-40c2-997d-5abdf7cd7782"", ""tn_tunis_ml_43f735f7f4a3_88386ea83d""], [""d9be2e7a-dfe5-40c2-997d-5abdf7cd7782"", ""tn_tunis_ml_86488118cdf0_88386ea9c9""], [""d9be2e7a-dfe5-40c2-997d-5abdf7cd7782"", ""tn_tunis_ml_f0fd726745aa_88386ea9c1""], [""e4129925-d913-426d-8d1a-4e5668979365"", ""tn_tunis_ml_517fc62e97ee_88386ea9e9""]]",human_review,4,4,claude=D; codex=A,0.865,"dissent:claude=D,codex=A",ed8c01e54950200d1a4c93b65383f834e476a62778dc7450043716d019be17d2,71f4373bce2bf43aa28d8ebdeb2753811a5a82ec8928f3c2b3aa1889f181a39b,246c0135be1bef13e70a18968bcad15d18752311ff2b73279e1be0d8b0475150,8312e99baf53e1210e754c7be7f40088de2b4b83e8d28ce5e8446e0f16f35c02,0cf7f176356d8c0a59f4d90474036a5aee81628d597c90e0e25530556cabc59b,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,1c223124,unanimous,A,"[[""0c9ec859-cf81-44e0-aec7-4bf1c6dbfa4b"", ""tn_tunis_ml_3cb42fd89318_88386e20c9""], [""908c7542-93df-4a5a-8c69-2836641db35f"", ""tn_tunis_ml_3cb42fd89318_88386e20c9""]]",auto_accept,4,4,,0.938,unanimous,bd5dfbe42a938d8cf9c55e4e764d2f1567363326a809ebdc3b37b89347a06174,60b35e1e5bb7322d55f9f3bece4b38dc66da4c43895c3d80da3b3bd599ce8142,a9295e69c0b20e29038b96dcedfd76de65171e37b7b945f3c1b2a9c99e5b29a3,2ecbe24c1e02940437bc7373b1f6edbb1d8fc1e1cf822d01003b84a325ab98f3,a9295e69c0b20e29038b96dcedfd76de65171e37b7b945f3c1b2a9c99e5b29a3,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,3458a872,unanimous,B,"[[""fbe9ca13-57a1-47a4-85a1-2fcd535ee4e8"", ""tn_tunis_ml_b121c7f1a200_88386e3899""], [""fbe9ca13-57a1-47a4-85a1-2fcd535ee4e8"", ""tn_tunis_ml_e25a6497b001_88386e3899""], [""fd57f0f9-b15d-43a6-bb10-9f95c75ca739"", ""tn_tunis_ml_58a0caf0917f_88386e3899""], [""fd57f0f9-b15d-43a6-bb10-9f95c75ca739"", ""tn_tunis_ml_6b702b4bfa80_88386e3899""]]",auto_accept,4,4,,0.865,unanimous,76ea2b21f082615e770f9c59e6a642b0983be68ef32c177ecca96599cf451d7f,c1b1ae728a4bf9248f6a140889631432e43d50be79a5a18135e178cc60a1741c,58f0f1395a2d0ff872ce38c20f6f84f7f2d0909171f39fafa2431f3086fe13ad,55153bcb41a661699af4e4be0458fa8ab01b82b262efdec0805decbbf1fc16c7,97a0ec526c2fc126d2037bfc6ca75c792cafb187261072db1486aef267352f8d,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,3ec904f1,unanimous,B,"[[""3ab40ef8-a05c-4c11-b1e1-abab547a3192"", ""tn_tunis_ml_7b4b4d81c33c_88386e2837""], [""ba2c24b2-41e4-4b7e-a67b-6c3748b5bc1e"", ""tn_tunis_ml_7b4b4d81c33c_88386e2837""], [""c7e61224-5d61-471e-b71c-16ecd2c202d7"", ""tn_tunis_ml_e9df840e3f4b_88386e2831""]]",auto_accept,4,4,,0.943,unanimous,227927aacf3ed442f55c5c9fa0d20d386f8fcb75876cff4e9dde0c7cf2dcc892,6215dc8763c06dbd0990d736d9cd1ea807f9bb1349d82122486e498da367c739,d51289ed963b990037c224ce1ab9d03360e15e499f8b7d219a8bd1379665ee72,f870a62440eac86e1d03aedbbe49d020b27eec8011970e4eb72eed1559aacbbd,4526cc276172b7323d6cf0e1de9e29be66fe5a749f9a43db6f46956804151e05,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,49d609f2,unanimous,A,"[[""0322b57c-b862-43b0-a4f7-85bd90587613"", ""tn_tunis_ml_dc9051f51ba6_88386e6653""], [""be1d7fd5-e048-4fd8-8252-88e56578e9a5"", ""tn_tunis_ml_dc9051f51ba6_88386e6653""]]",auto_accept,4,4,,0.938,unanimous,9f8b024826bbb2784590b7903759d51edece475eee88359ab33f4203291a4192,2d012c656d93c21f99618586bf9c12780e64201a961db298bb7104ab7caabb07,bb8b58f3ce15f3dd8f84c2c69c14306dfbf8020b4af197dd0e291e6fbf54d033,383267c93ae20ac70c74cbacc09752e2e5f9365fb41fdf5928c75d1ed6f537a7,bb8b58f3ce15f3dd8f84c2c69c14306dfbf8020b4af197dd0e291e6fbf54d033,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,667bfd99,unanimous,A,"[[""07f917db-ef5b-4643-80d2-9131dd03244a"", ""tn_tunis_ml_450a254620e9_88386e31a5""], [""07f917db-ef5b-4643-80d2-9131dd03244a"", ""tn_tunis_ml_8c244eaf44a1_88386e31a5""]]",human_review,4,4,,0.867,low_confidence,62afc299f02ae68b5bd1d95b1994d721704211b9b7cc9db6e7ffb1f02b475a76,2b18e0a9d2f04437612a750cc3eaaa3ece29173ce6a84bc4df950ceb58ce21a0,d6f48dffd1674b35d7315af50c316706f441bb973e488071fd5f4e9bb7715485,44fd044d6b32062fe397f9d8a0aa84208b5a59d87cec438f3f2c5c504066de4e,d6f48dffd1674b35d7315af50c316706f441bb973e488071fd5f4e9bb7715485,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,6d245704,majority,A,"[[""291fbe1d-2e54-4884-8a95-16d38a4c4a89"", ""tn_tunis_ml_7fc1decfe72f_88386e224d""], [""d2061424-d8ba-4c32-a655-656643efaae9"", ""tn_tunis_ml_7fc1decfe72f_88386e224d""]]",human_review,4,4,codex=B; muse=B,0.725,"dissent:codex=B,muse=B",53ed216841551ac5f04216a104c2d48f73e2293ec208952dda2a19e9df43ece5,b9caf56a0e7c54481468e309d4d0618ac8a58b22020d92deb72e1fe5edbc8ebc,506efa9adaf51d835301f3ae3c2389b79b30bf8b402648619a5dec06a7ff6101,c5f6b005dd9fb00d72eefec38640536ef79543695372b81024b57cb43b134a70,506efa9adaf51d835301f3ae3c2389b79b30bf8b402648619a5dec06a7ff6101,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,798a6ad7,unanimous,B,"[[""2d4e2016-c936-41a7-b988-a68673b26a53"", ""tn_tunis_ml_d78cc820b7f6_88386e2761""]]",auto_accept,4,4,,0.86,unanimous,596a7310fe94be2ec77b6aa7cb24516bf2c04812faa723fa869bd7c5f6a31f54,64e440eecd86a399ae1df9475f33c5a520030f12c92b7730578f632fac98c55a,d25a6ff0de20c9ec5613644d671f4a383610170d76ab97a5510199940efa22de,7972bc040f3632226803c4e4e808fce23fe53d3293488cc37e50430b979581ba,01046badc9a406be2e9e24d26fb5f35bd9656533f656a43c1f86136aba09bffe,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,8bf6c63b,unanimous,A,"[[""017fdcf1-1d9c-4483-b976-fe565e3e72d2"", ""tn_tunis_ml_3936208b6911_88386e2a4b""], [""017fdcf1-1d9c-4483-b976-fe565e3e72d2"", ""tn_tunis_ml_44509e3d9124_88386e2a4b""], [""017fdcf1-1d9c-4483-b976-fe565e3e72d2"", ""tn_tunis_ml_45cd77f7e319_88386e2a4b""], [""017fdcf1-1d9c-4483-b976-fe565e3e72d2"", ""tn_tunis_ml_aba9fe1d61bc_88386e2a4b""], [""017fdcf1-1d9c-4483-b976-fe565e3e72d2"", ""tn_tunis_ml_ce49ded791f8_88386e2a4b""], [""017fdcf1-1d9c-4483-b976-fe565e3e72d2"", ""tn_tunis_ml_e055a235d41d_88386e2a4b""], [""319bf6e9-b61b-407c-b857-ca9f1390d6d0"", ""tn_tunis_ml_b50b99f97f47_88386e2a4b""]]",auto_accept,4,4,,0.86,unanimous,d9513c1fa84760c85f5f293eb6d22703939754af9ab4b29d890c84639983a280,209ef6a4274d772ccd11d0854575ffa1d3ac0703159b03822390d0b14a001d61,8ac179727a737e90a7bbd411be37e379a69cd11f41721b0f81e105f971dba5c3,8a2450341eb3c7a724618d08ebeadce854b36ed8a92937b5c40e4db56d6e6213,8ac179727a737e90a7bbd411be37e379a69cd11f41721b0f81e105f971dba5c3,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
tn_tunis_ml_roads_sweep1_20260712,904c6f1d,majority,C,"[[""1480fc1b-1653-43ea-93f9-e4f18b369a17"", ""tn_tunis_ml_780f26ee7cfe_88386e2d47""], [""1fa2170b-7aec-4a51-a563-025246e17389"", ""tn_tunis_ml_e3c3c920b92f_88386e2d47""], [""22507589-32a3-479f-919a-d2cbe727cbf0"", ""tn_tunis_ml_cff981b27d9d_88386e2d47""], [""5af68876-102c-4509-b146-a68af5e91583"", ""tn_tunis_ml_39865c716c02_88386e2d47""], [""5af68876-102c-4509-b146-a68af5e91583"", ""tn_tunis_ml_48f7c49e8adb_88386e2d47""], [""5af68876-102c-4509-b146-a68af5e91583"", ""tn_tunis_ml_8caaec32b2b2_88386e2d47""], [""6ebb339b-9ac8-49aa-95d4-5b4eaa00c913"", ""tn_tunis_ml_9322ada6ee6a_88386e2d09""], [""82352347-46c9-4849-9e91-c078bf05bf27"", ""tn_tunis_ml_0908014030cd_88386e2d47""], [""82352347-46c9-4849-9e91-c078bf05bf27"", ""tn_tunis_ml_af82bafecae9_88386e2d47""], [""b688d06e-41a1-49a3-b13c-4ff0bd310fc6"", ""tn_tunis_ml_eb5d6f013674_88386e2d47""], [""d6135b5c-1e0d-487b-9e86-eb6b9139fd64"", ""tn_tunis_ml_780f26ee7cfe_88386e2d47""]]",human_review,4,4,muse=E,0.813,dissent:muse=E,4cc08320cedb71d286d8c7f23fd9a9e3c392511842dd37b60e8ef355f3fff678,4c0b9194c1c1a9570e334115f73d29b9273a60cfec493e68922fca31a8a75cfd,29771f373de5dbd6ab7c63a11a661ebfed5fa27e19110d926344c5c6b18f9bc9,55e66c38891998b1054ef237235490ff2801489825c7bf16e7bf1a1c6c58ab02,418783d6e0e360d96e4f9fcb69211516fb0f3fec6c9a87119e88fd45812acbad,ce0761c3865f7eb091d03a1c48ee8ef7bb00cbfc010bad2ad6d08144e02b8494,b992825a02344905edddd83af9b7073dc79042d93b74044f3382d446a5a511bb
