ref_id,target_id,label,confidence,reasoning,labeler,dataset
055df320-fdf1-4f12-9ecf-f565f835d11c,boston_bike_1665,no_match,0.85,Blue and red bright solid lines run parallel but offset ~8-10m apart representing separate parallel facilities - footway (likely sidewalk) vs cycleway (bike lane) on Causeway Street rather than the same physical path,claude_opus_subline_road_context,us_boston_bike_network
09e4241c-11e4-4c36-8cef-fe7260728e03,boston_bike_300,match,0.95,Blue and red lines directly overlap along same path on Commercial Street - cycleway follows road alignment with minimal offset indicating painted bike lane or shared road marking,claude_opus_subline_road_context,us_boston_bike_network
10aa70d9-1fb7-4fc7-aaa0-57d4356db9d6,boston_bike_1719,match,0.95,Blue and red segments overlap tightly along same Stuart Street path with minimal offset and matching heading,claude_opus_subline_road_context,us_boston_bike_network
1268f3ee-d67e-41fa-97a4-727fc65f8d41,boston_bike_3168,no_match,0.85,Blue and red segments are parallel but offset approximately 10-15m apart running as separate parallel paths - not overlapping on the same physical feature,claude_opus_subline_road_context,us_boston_bike_network
1c28d34c-b5b7-4f48-bd86-2786eccec2f7,boston_bike_2840,match,0.95,Bright blue and red solid lines with circles show near-perfect overlap along the same diagonal path on Kilby Street with minimal offset and matching names/lengths,claude_opus_subline_road_context,us_boston_bike_network
2f7f5792-2901-4828-a421-98cedc7b401d,boston_bike_2521,match,0.95,Blue and red bright solid lines overlap nearly perfectly along same path on Atlantic Avenue with minimal offset and identical names,claude_opus_subline_road_context,us_boston_bike_network
351f73aa-db85-4c3e-a050-e056a650da4c,boston_bike_2934,no_match,0.85,Blue and red segments run parallel with clear offset - red (bike network) is north of blue (road centerline) indicating separate parallel features not same physical path,claude_opus_subline_road_context,us_boston_bike_network
35fff370-0702-4eba-ae1d-61e50b62b1d0,boston_bike_2131,no_match,0.85,Blue and red segments are parallel but clearly offset by ~10-15m running along different paths - likely road vs adjacent sidewalk/footway given reference class is footway and target is Franklin Street road,claude_opus_subline_road_context,us_boston_bike_network
4c551cad-4f1f-4e91-b894-686cbb2d34bb,boston_bike_1082,match,0.95,Bright blue and red solid lines clearly overlap along same path on Broad Street with minimal offset and nearly identical lengths (33.2m vs 32.6m) and matching names,claude_opus_subline_road_context,us_boston_bike_network
50f9894c-5c29-486b-810d-d85394f3f43e,boston_bike_1447,match,0.95,Bright blue and red solid lines with circles overlap nearly perfectly on the same horizontal path representing Milk Street; identical names and lengths (~50m) with minimal offset confirm same physical road segment,claude_opus_subline_road_context,us_boston_bike_network
