source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
de_berlin_roads_w0707,279557bd,majority,C,"[[""23ed900a-2d5e-44ef-a09c-1ea9c0d314d4"", ""de_berlin_313_881f1d4967""], [""39983b84-10b0-4d6a-bfcc-8cd8b3726cc1"", ""de_berlin_8185_881f188653""], [""39983b84-10b0-4d6a-bfcc-8cd8b3726cc1"", ""de_berlin_8186_881f1d492d""], [""51be2116-2d26-454e-bd4f-c2335ed5c159"", ""de_berlin_51579_881f1d4967""], [""51be2116-2d26-454e-bd4f-c2335ed5c159"", ""de_berlin_51582_881f1d4967""], [""ba0aa082-cd54-4235-a963-53ff3a7985c5"", ""de_berlin_305352_881f1d4967""], [""ba0aa082-cd54-4235-a963-53ff3a7985c5"", ""de_berlin_313_881f1d4967""], [""cb3ae47d-577c-47af-b277-e56fa0a4f353"", ""de_berlin_313_881f1d4967""], [""cb3ae47d-577c-47af-b277-e56fa0a4f353"", ""de_berlin_51579_881f1d4967""], [""cb3ae47d-577c-47af-b277-e56fa0a4f353"", ""de_berlin_8186_881f1d492d""]]",human_review,3,3,agy=A,0.665,dissent:agy=A,,,,,,,
de_berlin_roads_w0707,379dc917,majority,NONE,[],human_review,3,3,agy=A,0.885,dissent:agy=A,,,,,,,
de_berlin_roads_w0707,6ea16a56,unanimous,A,"[[""73ebb7a5-1916-430e-b326-930dd7b9bb80"", ""de_berlin_475_881f1d48a7""], [""73ebb7a5-1916-430e-b326-930dd7b9bb80"", ""de_berlin_61572_881f1d48a7""]]",auto_accept,3,3,,0.947,unanimous,,,,,,,
de_berlin_roads_w0707,a29a2a23,unanimous,A,"[[""c595e1bb-7ed8-4453-9230-b2934acf08af"", ""de_berlin_809_881f1d4901""], [""c595e1bb-7ed8-4453-9230-b2934acf08af"", ""de_berlin_810_881f1d490b""]]",auto_accept,3,3,,0.95,unanimous,,,,,,,
de_berlin_roads_w0707,f0b45872,majority,F,"[[""00541d6c-1bcd-4a7b-ac60-a7f48f15ee01"", ""de_berlin_299457_881f1d49c1""], [""05a61030-be2b-447e-af43-6c901680dd0a"", ""de_berlin_299072_881f1d49c7""], [""05a61030-be2b-447e-af43-6c901680dd0a"", ""de_berlin_299345_881f1d49c1""], [""0aa072db-248d-49bd-a57a-085303935b9d"", ""de_berlin_299343_881f1d4823""], [""0d457cd5-97d1-4580-92ca-a47c4898c3f3"", ""de_berlin_299494_881f1d4937""], [""1443252d-0af3-4e63-9416-de854d9eed21"", ""de_berlin_299400_881f1d49cd""], [""1443252d-0af3-4e63-9416-de854d9eed21"", ""de_berlin_299401_881f1d49e9""], [""1443252d-0af3-4e63-9416-de854d9eed21"", ""de_berlin_299402_881f1d4933""], [""16cd9e93-00e9-4f3c-a563-ed35fb548fca"", ""de_berlin_299075_881f1d49c7""], [""16cd9e93-00e9-4f3c-a563-ed35fb548fca"", ""de_berlin_299464_881f1d4989""], [""1c972e4a-51b5-49e3-a8b2-751a2cfbf0bb"", ""de_berlin_299481_881f1886e5""], [""1c972e4a-51b5-49e3-a8b2-751a2cfbf0bb"", ""de_berlin_299482_881f1886eb""], [""1c972e4a-51b5-49e3-a8b2-751a2cfbf0bb"", ""de_berlin_299483_881f1886c3""], [""1def843f-e455-43e0-8887-51ed168fd05c"", ""de_berlin_299103_881f1d49cd""], [""1e38d1ea-bf40-4e20-a59f-b4391431f0f1"", ""de_berlin_299472_881f1d4857""], [""200537a5-3719-4787-9084-4ad5faab7545"", ""de_berlin_299374_881f1d480b""], [""25a408e7-18db-4d55-8cf2-3cfb18fb33a0"", ""de_berlin_305685_881f1d49b9""], [""2b8e15c5-76ee-4ac9-a36d-038a0a00b9cc"", ""de_berlin_300413_881f1d49b9""], [""2e015d76-3116-4113-a89d-6fcefbaabeab"", ""de_berlin_299451_881f1d4811""], [""2e015d76-3116-4113-a89d-6fcefbaabeab"", ""de_berlin_299452_881f1d4815""], [""313ad70f-705a-46a1-91ca-f376ef722b62"", ""de_berlin_299088_881f1d4997""], [""34dda4a1-014c-48e8-80e7-6c5bf5b53eb6"", ""de_berlin_299703_881f1886cb""], [""37910547-8b8c-4db7-ac22-9348b277b43e"", ""de_berlin_299337_881f1d4801""], [""3969a366-f8fb-4eea-97f9-af3c6ae24e1b"", ""de_berlin_299492_881f1d4803""], [""3daa2b71-c8e3-41e8-8437-3d030dc2e506"", ""de_berlin_299448_881f18b26d""], [""4156568b-e31a-45e9-98a2-f738f757283c"", ""de_berlin_299454_881f1d4801""], [""4156568b-e31a-45e9-98a2-f738f757283c"", ""de_berlin_299455_881f1d4803""], [""4156568b-e31a-45e9-98a2-f738f757283c"", ""de_berlin_299687_881f1d4803""], [""4520a24a-ef8f-43d1-bd62-78560b86c908"", ""de_berlin_299067_881f1d4823""], [""4520a24a-ef8f-43d1-bd62-78560b86c908"", ""de_berlin_299344_881f1d49c9""], [""4ab78532-f811-4b2b-b711-da90e8318b42"", ""de_berlin_299332_881f18b26d""], [""4da77bce-2c88-4a55-a22d-86910a95b452"", ""de_berlin_299575_881f1d4987""], [""51db30d3-cefe-484b-b509-04e449948616"", ""de_berlin_300415_881f1d4987""], [""5b10b896-82b4-48ee-aafd-e1269258ee6b"", ""de_berlin_299339_881f1d4823""], [""5baf5dc5-b4a8-486f-ba1f-20f39a3cc59a"", ""de_berlin_299100_881f1d49c9""], [""64f7582e-e5ee-452e-a5c0-9e44212ea099"", ""de_berlin_299765_881f1d4995""], [""6586c46d-f891-498b-af8c-fbf4d90a04e9"", ""de_berlin_299117_881f1d49cd""], [""70977e79-57f5-40c6-977b-981c44d78cc7"", ""de_berlin_299461_881f1d49c9""], [""71d5d876-0883-49b0-9bd7-d15056e7c6b5"", ""de_berlin_299456_881f1d4823""], [""75314d3b-b449-4cbb-ac6e-eace28990589"", ""de_berlin_299375_881f1d4857""], [""75e38cdd-c867-485f-88f3-e102c5973256"", ""de_berlin_299560_881f1d4981""], [""8152a193-bca5-4411-acf0-13d0e6f7bc1f"", ""de_berlin_305690_881f1d4983""], [""85dd494a-2074-4780-a022-9721aea55ea1"", ""de_berlin_299340_881f1d482b""], [""85dd494a-2074-4780-a022-9721aea55ea1"", ""de_berlin_299341_881f1d4807""], [""85dd494a-2074-4780-a022-9721aea55ea1"", ""de_berlin_299572_881f1d4823""], [""8709ea0b-8784-42f3-8a21-0cf94afbd463"", ""de_berlin_299066_881f1d4835""], [""8ac95e90-7676-4b3d-bd57-8c637d59ed85"", ""de_berlin_305691_881f1d4987""], [""8bbec2a2-8b70-4095-9c8d-f2e52025eb35"", ""de_berlin_299346_881f1d49c9""], [""8bbec2a2-8b70-4095-9c8d-f2e52025eb35"", ""de_berlin_299463_881f1d49cd""], [""8c547c7f-a8da-4231-83e1-d4749dc4b47a"", ""de_berlin_299444_881f1d49b9""], [""90210636-eb56-41c6-8a88-c23d56b4df0e"", ""de_berlin_8961_881f1d4803""], [""90210636-eb56-41c6-8a88-c23d56b4df0e"", ""de_berlin_8962_881f1d480b""], [""9d80d41a-31ed-4c88-a1cc-299b6b4294b8"", ""de_berlin_299095_881f1d4801""], [""9ee714bd-11c8-42bb-bf66-d27257439685"", ""de_berlin_299342_881f1d49c9""], [""9ee714bd-11c8-42bb-bf66-d27257439685"", ""de_berlin_299459_881f1d49c1""], [""a988f328-fd75-4ee3-8f0b-7776ac115d4a"", ""de_berlin_299566_881f18b26d""], [""aa7d3bea-0138-4c71-8cba-587f7165d847"", ""de_berlin_299688_881f1d480b""], [""ab8b6647-d5d3-4e64-bf6e-51964753504e"", ""de_berlin_299371_881f1d480b""], [""abddf50b-a47d-4bfa-9cd8-39ab8e337f43"", ""de_berlin_299460_881f1d49c9""], [""b429f278-b67b-4777-b3e0-172bd43c3e88"", ""de_berlin_299686_881f1d4803""], [""b4b6e135-955c-41f0-8dd3-6f2e875f1b54"", ""de_berlin_299351_881f1d4981""], [""b53b3384-9076-4883-a18b-355d0692b154"", ""de_berlin_299470_881f1d480b""], [""b91e3308-1e6b-42dd-b48d-aeeaecddb015"", ""de_berlin_299067_881f1d4823""], [""b98d4207-55b5-4115-b862-2f477d40fde2"", ""de_berlin_299350_881f1d49cd""], [""b9c62c91-4f29-4775-ba9f-3e0e74075611"", ""de_berlin_299793_881f1d4803""], [""c1cf3296-8677-42d4-bf5a-ddc330ec6b2e"", ""de_berlin_299334_881f1d482b""], [""c1cf3296-8677-42d4-bf5a-ddc330ec6b2e"", ""de_berlin_299453_881f1d4807""], [""c5165997-de86-4536-830f-17e6fcc8e54d"", ""de_berlin_299349_881f1d49c1""], [""c5bea972-dc8d-4387-8a13-ae8028c2f8a0"", ""de_berlin_299701_881f1d4937""], [""c9137b2b-d6a9-4286-b83f-28314acd1c49"", ""de_berlin_299104_881f1d49cd""], [""c9e71b18-d200-4f51-903c-65e612a94305"", ""de_berlin_299493_881f1d4801""], [""caa62750-a7ec-43da-b44f-f3057d8dc010"", ""de_berlin_299471_881f1d4857""], [""ccdb7542-18d8-4f08-a361-94e7a2e331fd"", ""de_berlin_299807_881f1d4803""], [""cff9dce6-55f4-4ef1-92a2-1657bdbf0f0b"", ""de_berlin_299469_881f1d480b""], [""d0a42354-0264-4c7c-99dc-4c67a2fbd1d3"", ""de_berlin_299576_881f1d4811""], [""d735aa83-93a5-47c2-aa7e-9ef7bfba509c"", ""de_berlin_299462_881f1d49c1""], [""fb5035f1-c70d-4886-9479-ff06fda9cdf6"", ""de_berlin_299445_881f1d4997""], [""fc72d1a2-d29c-4af2-bb70-14978a39b122"", ""de_berlin_305686_881f1d49b9""], [""fd00da79-6fd3-4e26-a909-1007776021ed"", ""de_berlin_299458_881f1d49c1""], [""fd261c4a-eaf7-42f6-af1f-08b1501d4282"", ""de_berlin_299373_881f1d480b""], [""fd261c4a-eaf7-42f6-af1f-08b1501d4282"", ""de_berlin_8964_881f1d480b""]]",human_review,3,3,agy=A,0.665,dissent:agy=A,,,,,,,
de_berlin_roads_breadth_v7_20260714,d4d2e782,unanimous,NONE,[],human_review,3,3,,0.847,unanimous_none,7d079a64d9dcd78ed01fc31c81ca0690b54b1a9587ecf4f0e2bd88664bdc5378,2fe52a8a2ce76ae746581c5136bcef89088e9194f3db637c06f8c4e5c1f6dd51,6129c2fc60ddd97b25a7c1cdb4962383c36bc0d4f4c3159f6a1b984a6c2a8a76,b37b66989b5b6593844bf143b6522e36610198fde275e4ff575626a496dc6b12,NONE,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
de_berlin_roads_breadth_v7_20260714,dc818edc,none,B,"[[""2c4b9354-e66e-42da-87d1-022d2833ef99"", ""de_berlin_299797_881f18b2e9""], [""3fd27244-c7a6-4de8-ae52-6120d56e03cd"", ""de_berlin_299719_881f18b2a9""], [""663a932f-bbee-4d31-aa6e-fe3fc4939d53"", ""de_berlin_299716_881f18b2e3""], [""823810e7-9489-4d24-be96-ce39dee83523"", ""de_berlin_299495_881f18b2e9""], [""823810e7-9489-4d24-be96-ce39dee83523"", ""de_berlin_299497_881f18b2eb""], [""921f0428-a771-4cd3-bd54-31ef0a291526"", ""de_berlin_299712_881f18b2e9""], [""95abc089-b00f-45ab-adda-236e5dbe3743"", ""de_berlin_299062_881f18b2ed""], [""95abc089-b00f-45ab-adda-236e5dbe3743"", ""de_berlin_299495_881f18b2e9""], [""95abc089-b00f-45ab-adda-236e5dbe3743"", ""de_berlin_299803_881f18b2e9""], [""b1c033de-e5ae-4e27-9b57-a1c74f7835f7"", ""de_berlin_299794_881f18b2e9""], [""c07b4781-1537-40df-8724-6a2a6e568be2"", ""de_berlin_299495_881f18b2e9""], [""c167bc61-630b-42e4-ba68-4797b0190bed"", ""de_berlin_299714_881f18b2eb""], [""c2d90425-7767-4a97-9e58-99cde3367308"", ""de_berlin_299498_881f18b2e3""], [""d188fa87-afea-45a8-b5c9-ffc437572235"", ""de_berlin_299120_881f18b2ed""], [""d6507af3-fec4-47f5-afff-7a34d335f7ba"", ""de_berlin_299122_881f18b2eb""], [""efb8fc32-7a79-40cd-9c73-0734a89bec5f"", ""de_berlin_299501_881f18b2e3""], [""fb3d4a16-0318-43e8-b19a-eb78d14508cb"", ""de_berlin_299601_881f18b2eb""], [""fb3d4a16-0318-43e8-b19a-eb78d14508cb"", ""de_berlin_299815_881f18b2eb""]]",human_review,3,1,,0.82,no_majority,81b4cf455ca15a6757c093a144005835628989223051889b9dc8780bd7eb81bd,6e9b33e406497315dd1fcb1d7bc1b0cbf629b0d0c1d1feb463440b50e754ca25,e5c17c5c8aa5454cb11e6bee4f598aa0162f2951ae7abcb700d174f9d656fcd0,684867156b20e046978a0b160118fefadaf8d1b3a3ffe540ad8f08710fabcd08,d4485e4abf1cc05bbbc2cf4366b308b78ceda12f077cbf6a62a959ac182a7f10,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
de_berlin_roads_breadth_v7_retry1_20260714,dc818edc,majority,NONE,[],human_review,3,3,codex=B,0.635,dissent:codex=B,81b4cf455ca15a6757c093a144005835628989223051889b9dc8780bd7eb81bd,4810a3d6287fa670499b4b423d0889cf574ab5c101ee216625fa0cec4bd14fa1,e5c17c5c8aa5454cb11e6bee4f598aa0162f2951ae7abcb700d174f9d656fcd0,684867156b20e046978a0b160118fefadaf8d1b3a3ffe540ad8f08710fabcd08,NONE,953d862fa8c0dfea0a887056d6a218b3f3402bf9c55feeaa562a4ac847f515c7,a2fcbbf69db486219ec501a8ea3f5a5ecaabcec1e27275e7fbc17b79728ad1a5
de_berlin_roads_physical_context_v7_20260715_no_physical,7bac1f1d,unanimous,I,"[[""45dc5a18-f528-442e-866c-dbe2b73294c3"", ""de_berlin_306467_881f1d48b9""], [""591448ec-78fa-4fc3-975f-1a3c785a1dc8"", ""de_berlin_306469_881f1d48b1""], [""601b43c1-2b27-4c6f-b6b3-502926726334"", ""de_berlin_306467_881f1d48b9""], [""601b43c1-2b27-4c6f-b6b3-502926726334"", ""de_berlin_306468_881f1d48b9""], [""a5930e12-00f6-46b5-823e-6b034fe9c3b5"", ""de_berlin_306468_881f1d48b9""], [""f3fac9b0-5de9-4972-87e1-2586c240dfff"", ""de_berlin_306469_881f1d48b1""]]",human_review,3,3,,0.87,low_confidence,526114977f911aa2eaab3f5efccc282b7ba2fa67dd8250e203d689986fed59a7,f293758d8b14a3f7d0e8367b1ce7e8a2f71ce432fb478abd8f3ad30c36e9a65d,2691a9ecc0ddcd26150a72d2faf2ce3fa60fb03b13cc4f0c1f7dd82ce04ec366,9a6967564eb1bb70a9ea08002f1519169e524156931f440ecc5b980839aa4161,66113ba8df7d10295019891077d768372573453a94804a276bf7d52ab6c27a48,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
de_berlin_roads_physical_context_v7_20260715_no_coincidence,7bac1f1d,unanimous,I,"[[""45dc5a18-f528-442e-866c-dbe2b73294c3"", ""de_berlin_306467_881f1d48b9""], [""591448ec-78fa-4fc3-975f-1a3c785a1dc8"", ""de_berlin_306469_881f1d48b1""], [""601b43c1-2b27-4c6f-b6b3-502926726334"", ""de_berlin_306467_881f1d48b9""], [""601b43c1-2b27-4c6f-b6b3-502926726334"", ""de_berlin_306468_881f1d48b9""], [""a5930e12-00f6-46b5-823e-6b034fe9c3b5"", ""de_berlin_306468_881f1d48b9""], [""f3fac9b0-5de9-4972-87e1-2586c240dfff"", ""de_berlin_306469_881f1d48b1""]]",auto_accept,3,3,,0.903,unanimous,b05285263ecb0845092ab2e92e4173d4b1e52c3269e582feb62c1b96b2e09b06,0d1df3357f95da48ea7ed27e05b04df0cbd6ef9ae48b1fe69655c0b8c75a0a15,2691a9ecc0ddcd26150a72d2faf2ce3fa60fb03b13cc4f0c1f7dd82ce04ec366,9a6967564eb1bb70a9ea08002f1519169e524156931f440ecc5b980839aa4161,66113ba8df7d10295019891077d768372573453a94804a276bf7d52ab6c27a48,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
